"Date","Price","Open","High","Low","Change %"
"Dec 07, 2017","113.08","112.28","113.16","112.20","0.69%"
"Dec 06, 2017","112.30","112.59","112.67","112.00","-0.26%"
"Dec 05, 2017","112.59","112.41","112.88","112.38","0.15%"
"Dec 04, 2017","112.42","112.41","113.09","112.36","0.28%"
"Dec 01, 2017","112.11","112.53","112.88","111.42","-0.37%"
"Nov 30, 2017","112.53","111.92","112.64","111.72","0.54%"
"Nov 29, 2017","111.93","111.48","112.15","111.37","0.40%"
"Nov 28, 2017","111.48","111.09","111.64","110.94","0.35%"
"Nov 27, 2017","111.09","111.41","111.69","110.83","-0.41%"
"Nov 24, 2017","111.55","111.22","111.64","111.19","0.30%"
"Nov 23, 2017","111.22","111.21","111.38","111.06","0.00%"
"Nov 22, 2017","111.22","112.45","112.50","111.14","-1.09%"
"Nov 21, 2017","112.44","112.62","112.72","112.17","-0.16%"
"Nov 20, 2017","112.62","112.08","112.72","111.88","0.48%"
"Nov 17, 2017","112.08","113.05","113.16","111.94","-0.87%"
"Nov 16, 2017","113.06","112.88","113.34","112.73","0.16%"
"Nov 15, 2017","112.88","113.47","113.50","112.47","-0.50%"
"Nov 14, 2017","113.45","113.62","113.92","113.31","-0.15%"
"Nov 13, 2017","113.62","113.52","113.72","113.25","0.08%"
"Nov 10, 2017","113.53","113.47","113.64","113.20","0.05%"
"Nov 09, 2017","113.47","113.86","114.08","113.09","-0.36%"
"Nov 08, 2017","113.88","114.00","114.05","113.39","-0.12%"
"Nov 07, 2017","114.02","113.70","114.34","113.69","0.28%"
"Nov 06, 2017","113.70","114.00","114.74","113.70","-0.33%"
"Nov 03, 2017","114.08","114.08","114.44","113.66","-0.01%"
"Nov 02, 2017","114.09","114.17","114.22","113.53","-0.07%"
"Nov 01, 2017","114.17","113.64","114.30","113.61","0.47%"
"Oct 31, 2017","113.64","113.17","113.73","112.97","0.40%"
"Oct 30, 2017","113.19","113.73","113.84","113.03","-0.44%"
"Oct 27, 2017","113.69","113.98","114.45","113.64","-0.25%"
"Oct 26, 2017","113.98","113.75","114.08","113.34","0.20%"
"Oct 25, 2017","113.75","113.92","114.25","113.48","-0.13%"
"Oct 24, 2017","113.90","113.43","114.01","113.25","0.41%"
"Oct 23, 2017","113.44","113.69","114.11","113.25","-0.07%"
"Oct 20, 2017","113.52","112.53","113.58","112.52","0.86%"
"Oct 19, 2017","112.55","112.94","113.16","112.31","-0.35%"
"Oct 18, 2017","112.94","112.20","113.06","112.14","0.66%"
"Oct 17, 2017","112.20","112.19","112.48","112.03","0.01%"
"Oct 16, 2017","112.19","111.85","112.29","111.65","0.30%"
"Oct 13, 2017","111.86","112.28","112.33","111.69","-0.37%"
"Oct 12, 2017","112.28","112.50","112.53","112.12","-0.20%"
"Oct 11, 2017","112.50","112.45","112.59","112.08","0.04%"
"Oct 10, 2017","112.45","112.67","112.83","112.00","-0.20%"
"Oct 09, 2017","112.67","112.69","112.75","112.32","0.03%"
"Oct 06, 2017","112.64","112.81","113.44","112.61","-0.16%"
"Oct 05, 2017","112.82","112.75","112.92","112.41","0.06%"
"Oct 04, 2017","112.75","112.86","112.94","112.33","-0.10%"
"Oct 03, 2017","112.86","112.75","113.20","112.64","0.08%"
"Oct 02, 2017","112.77","112.56","113.06","112.44","0.25%"
"Sep 29, 2017","112.49","112.35","112.74","112.21","0.13%"
"Sep 28, 2017","112.34","112.86","113.20","112.25","-0.43%"
"Sep 27, 2017","112.83","112.25","113.27","112.21","0.53%"
"Sep 26, 2017","112.23","111.73","112.48","111.50","0.45%"
"Sep 25, 2017","111.73","111.98","112.53","111.47","-0.22%"
"Sep 22, 2017","111.98","112.47","112.56","111.66","-0.44%"
"Sep 21, 2017","112.47","112.21","112.72","112.13","0.22%"
"Sep 20, 2017","112.22","111.58","112.53","111.11","0.56%"
"Sep 19, 2017","111.59","111.56","111.89","111.19","0.02%"
"Sep 18, 2017","111.57","110.88","111.67","110.88","0.66%"
"Sep 15, 2017","110.84","110.22","111.33","109.55","0.55%"
"Sep 14, 2017","110.23","110.48","111.03","110.08","-0.23%"
"Sep 13, 2017","110.48","110.19","110.70","109.92","0.28%"
"Sep 12, 2017","110.17","109.42","110.27","109.25","0.69%"
"Sep 11, 2017","109.41","108.20","109.52","108.14","1.46%"
"Sep 08, 2017","107.84","108.45","108.50","107.33","-0.56%"
"Sep 07, 2017","108.45","109.23","109.28","108.06","-0.71%"
"Sep 06, 2017","109.23","108.81","109.41","108.45","0.39%"
"Sep 05, 2017","108.81","109.73","109.84","108.64","-0.85%"
"Sep 04, 2017","109.74","109.40","109.94","109.31","-0.48%"
"Sep 01, 2017","110.27","109.97","110.42","109.56","0.27%"
"Aug 31, 2017","109.97","110.25","110.67","109.89","-0.24%"
"Aug 30, 2017","110.23","109.75","110.44","109.53","0.44%"
"Aug 29, 2017","109.75","109.27","109.91","108.27","0.46%"
"Aug 28, 2017","109.25","109.26","109.42","109.03","-0.10%"
"Aug 25, 2017","109.36","109.56","109.86","109.11","-0.18%"
"Aug 24, 2017","109.56","109.06","109.61","108.83","0.49%"
"Aug 23, 2017","109.03","109.56","109.83","108.92","-0.49%"
"Aug 22, 2017","109.57","108.97","109.65","108.87","0.54%"
"Aug 21, 2017","108.98","109.34","109.43","108.62","-0.19%"
"Aug 18, 2017","109.19","109.58","109.61","108.61","-0.35%"
"Aug 17, 2017","109.57","110.20","110.37","109.43","-0.56%"
"Aug 16, 2017","110.19","110.67","110.95","110.02","-0.43%"
"Aug 15, 2017","110.67","109.64","110.86","109.59","0.94%"
"Aug 14, 2017","109.64","109.06","109.81","109.03","0.41%"
"Aug 11, 2017","109.19","109.22","109.44","108.77","-0.03%"
"Aug 10, 2017","109.22","110.08","110.19","109.14","-0.78%"
"Aug 09, 2017","110.08","110.31","110.39","109.56","-0.21%"
"Aug 08, 2017","110.31","110.73","110.83","110.23","-0.40%"
"Aug 07, 2017","110.75","110.61","110.92","110.61","0.05%"
"Aug 04, 2017","110.69","110.03","111.06","109.83","0.58%"
"Aug 03, 2017","110.05","110.72","110.84","109.86","-0.61%"
"Aug 02, 2017","110.73","110.36","111.00","110.28","0.34%"
"Aug 01, 2017","110.36","110.25","110.59","109.92","0.10%"
"Jul 31, 2017","110.25","110.64","110.78","110.19","-0.38%"
"Jul 28, 2017","110.67","111.28","111.34","110.55","-0.52%"
"Jul 27, 2017","111.25","111.18","111.73","110.78","0.07%"
"Jul 26, 2017","111.17","111.89","112.20","111.06","-0.64%"
"Jul 25, 2017","111.89","111.08","111.96","110.81","0.70%"
"Jul 24, 2017","111.11","111.06","111.31","110.61","-0.01%"
"Jul 21, 2017","111.12","111.92","112.09","111.00","-0.71%"
"Jul 20, 2017","111.91","111.98","112.43","111.48","-0.05%"
"Jul 19, 2017","111.97","112.08","112.25","111.56","-0.10%"
"Jul 18, 2017","112.08","112.62","112.72","111.67","-0.50%"
"Jul 17, 2017","112.64","112.50","112.88","112.31","0.10%"
"Jul 14, 2017","112.53","113.29","113.60","112.27","-0.66%"
"Jul 13, 2017","113.28","113.16","113.53","112.86","0.11%"
"Jul 12, 2017","113.16","113.94","113.98","112.92","-0.68%"
"Jul 11, 2017","113.94","114.05","114.51","113.72","-0.09%"
"Jul 10, 2017","114.04","113.97","114.30","113.85","0.13%"
"Jul 07, 2017","113.89","113.19","114.19","113.08","0.59%"
"Jul 06, 2017","113.22","113.27","113.48","112.89","-0.04%"
"Jul 05, 2017","113.27","113.28","113.69","112.81","-0.01%"
"Jul 04, 2017","113.28","113.38","113.48","112.73","-0.10%"
"Jul 03, 2017","113.39","112.14","113.48","111.94","0.90%"
"Jun 30, 2017","112.38","112.19","112.62","111.74","0.18%"
"Jun 29, 2017","112.18","112.31","112.94","111.81","-0.11%"
"Jun 28, 2017","112.30","112.36","112.43","111.83","-0.05%"
"Jun 27, 2017","112.36","111.88","112.47","111.45","0.46%"
"Jun 26, 2017","111.84","111.11","111.94","111.11","0.49%"
"Jun 23, 2017","111.29","111.35","111.45","111.16","-0.04%"
"Jun 22, 2017","111.33","111.35","111.45","110.93","-0.04%"
"Jun 21, 2017","111.38","111.45","111.73","111.05","-0.05%"
"Jun 20, 2017","111.44","111.53","111.81","111.31","-0.08%"
"Jun 19, 2017","111.53","110.83","111.61","110.75","0.60%"
"Jun 16, 2017","110.86","110.92","111.44","110.64","-0.07%"
"Jun 15, 2017","110.94","109.56","111.00","109.28","1.24%"
"Jun 14, 2017","109.58","110.06","110.36","108.83","-0.45%"
"Jun 13, 2017","110.07","109.95","110.28","109.82","0.12%"
"Jun 12, 2017","109.94","110.36","110.44","109.61","-0.36%"
"Jun 09, 2017","110.34","110.00","110.81","109.75","0.31%"
"Jun 08, 2017","110.00","109.83","110.42","109.39","0.17%"
"Jun 07, 2017","109.81","109.44","109.91","109.11","0.37%"
"Jun 06, 2017","109.41","110.44","110.52","109.20","-0.96%"
"Jun 05, 2017","110.47","110.36","110.73","110.25","0.05%"
"Jun 02, 2017","110.42","111.34","111.72","110.31","-0.84%"
"Jun 01, 2017","111.36","110.77","111.48","110.67","0.52%"
"May 31, 2017","110.78","110.86","111.25","110.47","-0.06%"
"May 30, 2017","110.85","111.27","111.35","110.67","-0.37%"
"May 29, 2017","111.26","111.32","111.48","111.16","-0.07%"
"May 26, 2017","111.34","111.86","111.89","110.89","-0.44%"
"May 25, 2017","111.83","111.48","111.95","111.47","0.30%"
"May 24, 2017","111.50","111.76","112.12","111.46","-0.25%"
"May 23, 2017","111.78","111.31","111.86","110.86","0.43%"
"May 22, 2017","111.30","111.33","111.62","110.89","0.02%"
"May 19, 2017","111.28","111.48","111.70","111.03","-0.20%"
"May 18, 2017","111.50","110.83","111.73","110.23","0.61%"
"May 17, 2017","110.82","113.13","113.14","110.78","-2.03%"
"May 16, 2017","113.12","113.78","113.80","112.91","-0.58%"
"May 15, 2017","113.78","113.19","113.86","113.11","0.39%"
"May 12, 2017","113.34","113.86","113.97","113.19","-0.46%"
"May 11, 2017","113.86","114.31","114.39","113.47","-0.37%"
"May 10, 2017","114.28","113.98","114.36","113.62","0.26%"
"May 09, 2017","113.98","113.25","114.33","113.11","0.64%"
"May 08, 2017","113.25","112.98","113.31","112.38","0.47%"
"May 05, 2017","112.72","112.45","112.83","112.08","0.23%"
"May 04, 2017","112.46","112.74","113.05","112.30","-0.26%"
"May 03, 2017","112.75","112.00","112.80","111.95","0.69%"
"May 02, 2017","111.98","111.86","112.33","111.78","0.13%"
"May 01, 2017","111.84","111.30","111.93","111.19","0.26%"
"Apr 28, 2017","111.55","111.25","111.72","111.06","0.25%"
"Apr 27, 2017","111.27","111.06","111.61","111.00","0.19%"
"Apr 26, 2017","111.06","111.11","111.80","110.88","-0.03%"
"Apr 25, 2017","111.09","109.77","111.19","109.58","1.20%"
"Apr 24, 2017","109.77","110.25","110.64","109.64","0.63%"
"Apr 21, 2017","109.08","109.33","109.44","108.86","-0.22%"
"Apr 20, 2017","109.32","108.85","109.49","108.70","0.42%"
"Apr 19, 2017","108.86","108.42","109.19","108.36","0.41%"
"Apr 18, 2017","108.42","108.92","109.23","108.31","-0.45%"
"Apr 17, 2017","108.91","108.67","109.06","108.12","0.25%"
"Apr 14, 2017","108.64","109.09","109.25","108.55","-0.41%"
"Apr 13, 2017","109.09","109.02","109.41","108.72","0.06%"
"Apr 12, 2017","109.03","109.63","109.89","108.96","-0.54%"
"Apr 11, 2017","109.62","110.94","110.97","109.60","-1.19%"
"Apr 10, 2017","110.94","111.09","111.58","110.78","-0.12%"
"Apr 07, 2017","111.07","110.81","111.38","110.13","0.23%"
"Apr 06, 2017","110.81","110.69","111.14","110.28","0.10%"
"Apr 05, 2017","110.70","110.77","111.47","110.53","-0.05%"
"Apr 04, 2017","110.75","110.89","110.97","110.27","-0.13%"
"Apr 03, 2017","110.89","111.41","111.61","110.84","-0.45%"
"Mar 31, 2017","111.39","111.92","112.20","111.22","-0.47%"
